area,url,category,title,date
神奈川県,https://www.pref.kanagawa.jp/docs/jf2/coronavirus/kyoryokukin_17th.html, 協力金,新型コロナウイルス感染症拡大防止協力金（第17弾）＜2月14日から3月6日まで＞ ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/jf2/coronavirus/kyoryokukin_16th.html, 協力金,新型コロナウイルス感染症拡大防止協力金（第16弾）＜1月21日から2月13日まで＞ ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/jf2/r3_kansen-boushi3.html, 補助金,感染症拡大防止事業補助金(第3次) ,2022-02-28
神奈川県,https://kanagawaken-shienkyufukin.com/, 給付金,中小企業等支援給付金（酒類販売事業者等以外の事業者） ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/jf2/coronavirus/jigyousya_sien3.html, 給付金,酒類販売事業者支援給付金（10月分） ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/pw3/cnt/f537049/index.html, 補助金,企業誘致促進賃料補助金 ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/m6c/cnt/f5782/p844438.html, 融資,中小企業制度融資のしおり・ご案内・チラシ ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/m6c/prs/r5118881.html,, 新型コロナウイルス関連融資の信用保証料を最大ゼロに引き下げ ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/r5k/mask_nisho.html,, 「マスク飲食実施店」認証制度 ,2022-02-28
神奈川県,https://kanagawa.en-jine.com/, クラウドファンディング,かながわベンチャー限定クラウドファンディング ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/m6c/cnt/f5782/corona.html, 融資,新型コロナウイルス関連融資 ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/f6k/coronavirus.html, 融資,新型コロナウイルスによる経営への影響を受けられた農畜産業者の方を対象とした特例措置 ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/ga4/covid19/vaccines/free_pcr.html, 支援情報,PCR等検査無料化事業について ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/ga4/covid19/fukushi_kensa2.html,, 高齢者施設等における従事者の皆様への無料PCR検査 ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/zei/kenzei/a010/038.html#nouzei_yuuyo,, 新型コロナウイルス関連＜県税に関してのお知らせ＞ ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/r4a/ryoukingaido/singatacorona.html,, 新型コロナウイルスの感染拡大に伴う上下水道料金の支払い猶予について ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/jf2/coronavirus2020/index.html,, 新型コロナウイルス感染症の流行により影響を受けている事業者の皆様へ ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/ga4/corona/osirase.html,, 感染防止対策取組書・LINEコロナお知らせシステム ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/r5k/covid19_line_jigyoshasupport.html,, LINE公式アカウント「神奈川県新型コロナ対策事業者サポート」 ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/jf2/cnt/f39000.html,, BCP作成等支援専門家派遣事業 ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/jf2/korona.html, 相談,新型コロナウイルスの流行により影響を受ける県内中小企業に対する「経営相談窓口」 ,2022-02-28
神奈川県,https://www.pref.kanagawa.jp/docs/k5n/soudan/corona110ban.html, 相談,コロナ労働相談110番 ,2022-02-28
神奈川県,https://jsite.mhlw.go.jp/kanagawa-roudoukyoku/madoguchi_annai/20200625_00001.html, 相談,【神奈川労働局】新型コロナ感染症の影響による特別労働相談窓口 ,2022-02-28
神奈川県,https://www.kipc.or.jp/blog/post-14/, 相談,【神奈川産業振興センター】経営に関するお悩みなど、お気軽にご相談ください ,2022-02-28
神奈川県,https://www.kana-gyosei.or.jp/news/8076.php, 相談,給付金等に関する相談・申請支援窓口の設置～神奈川県行政書士会～ ,2022-02-28
