area,url,category,title,date,body
枚方市,https://www.city.hirakata.osaka.jp/0000035328.html, 補助金,【飲食店向け】非接触消毒液ディスペンサーやサーキュレーターの購入費用を補助します！ ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップ事業者向け情報産業振興産業・商工業【飲食店向け】非接触消毒液ディスペンサーやサーキュレーターの購入費用を補助します！[2021年7月5日]ID:35328ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();※対象備品の購入費用及び送料（共に税抜額）の実費負担額が補助対象。金券やポイント等による割引分は補助対象とはなりません。※消費税の計算誤りをされているケースが多くみられます。税抜金額は、「税込金額÷1．1（小数点切り捨て）」により求めてください。計算用に、下記に「計算ツール」を参考に掲載しています。必要に応じてご使用ください。（計算ツールの提出は必要ありません。）備品購入補助金請求金額計算ツール計算ツール(ファイル名：keisan_tool_bihin.xlsxサイズ：18.26KB)1.「枚方市飲食店等感染症対策備品購入補助金」について新型コロナウイルス感染予防対策を目的とする備品を購入・設置し、感染防止対策に取り組む市内飲食店等を支援するため、新たに市独自の支援制度を創設するものです。申込様式などはこちら↓案内チラシ（対象要件や必要書類の確認はこちら）(ファイル名：bihin_chirashi.pdfサイズ：582.43KB)申込書類一式（提出する書類はこちら）pdf版（印刷して記入する場合はこちら）(ファイル名：bihin_mousikomi_ver0.3.pdfサイズ：965.94KB)word版（パソコンで内容を入力する場合はこちら）(ファイル名：bihin_mousikomi_ver0.3.docxサ"
枚方市,https://www.city.hirakata.osaka.jp/0000028976.html, 補給金,新型コロナウイルス感染症関係制度融資にかかる信用保証料 ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップ事業者向け情報産業振興産業・商工業【お知らせ】新型コロナウイルス感染症関係制度融資にかかる信用保証料の交付対象の拡充について[2020年9月2日]ID:28976ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();枚方市支援策の信用保証料補給を拡充しました大阪府の新型コロナウイルス感染症対応緊急資金において、本市が認定した新型コロナウイルス感染症対応緊急資金、新型コロナウイルス感染症対策資金又は、新型コロナウイルス感染症対応資金を利用して400万円以下の融資を受けた市内の事業者を対象に、大阪中小企業信用保証協会へ支払った信用保証料を最高10万円まで補助します。＜表1枚方市独自施策＞また、大阪府制度融資に新たに新型コロナウイルス感染症対応資金（保証料等補助型）が加わりましたので、合わせてご活用ください。＜表2大阪府制度融資＞＜表1枚方市独自施策＞今回拡充内容旧制度と拡充内容との関係制度名新型コロナウイルス感染症対応緊急資金新型コロナウイルス感染症対策資金認定種類セーフティネット4号(SN4)セーフティネット5号(SN5)危機関連保証利子必要必要必要保証料必要必要必要市制度による保証料補給【従来】補給対象【従来】なし【従来】なし（400万円以下の融資に限る）【拡充】補給対象【拡充】補給対象【拡充】補給対象※下記＜表2＞の新制度に借換えを行えば、信用保証料、利子で減免を受けられる可能性があります。※下記＜表2＞の新制度に借換えを行った場合は、保証料の補給は差額支給になります。※借換えを行った際に"
枚方市,https://www.city.hirakata.osaka.jp/0000027525.html, 融資ほか,コロナのその先へ！事業継続のための4STEP ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップ事業者向け情報産業振興産業・商工業コロナのその先へ！事業継続のための4STEP[2021年8月5日]ID:27525ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();新型コロナウイルス感染症の影響を受ける事業者の方が活用いただける支援施策をまとめました。（令和3年8月5日時点）【STEP1】支援金等の受給月次支援金（国）緊急事態措置またはまん延防止等重点措置に伴う飲食店の休業・時短営業または外出自粛等の影響を受け、かつ2019年又は2020年比で2021年の月間売上が50％以上減少した事業者の方は、国の月次支援金の給付対象になり得ます。詳細、最新情報は月次支援金事務局ホームページをご確認ください。■お問い合わせ先月次支援金事務局相談窓口電話番号：0120-211-240IP電話専用回線：03-6629-0479（開設時間）午前8時30分から午後7時まで（土日祝日を含む全日）営業時間短縮協力金（大阪府）大阪府知事が決定した営業時間短縮の要請に全面的に協力いただいた事業者に対し、営業時短協力金を支給します。申請期間等の詳細、最新情報は大阪府ホームページをご確認ください。■お問い合わせ先第1期から第3期協力金に関するコールセンター電話番号：06-7166-9989（開設時間）午前9時から午後6時まで（平日）第4期から第6期までと早期給付協力金に関するコールセンター電話番号：06-7166-9987（開設時間）午前9時から午後6時まで（平日）小規模事業者等事業継続支援金（枚方市）新型コロナウイルス感染症拡大に伴い、特に影響を受ける小規模事業者のう"
枚方市,https://www.city.hirakata.osaka.jp/category/1-12-10-0-0.html, 支援情報,事業者向け ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップくらし新型コロナウイルス関連情報支援情報（事業者）枚方市の主な支援策（当初予算・補正予算）[2021年10月7日]【飲食店向け】大阪府ゴールドステッカー認証に向けたサポートをします！[2021年10月1日]【申込期間終了】国・府の支援対象外の小規模事業者等（個人事業主を含む）へ10万円を給付！[2021年9月1日]国の「緊急事態宣言の影響緩和に係る一時支援金」・大阪府の「営業時間短縮協力金（第1期・第2期）」の対象にならない小規模事業者等に対して、「枚方市新型コロナウイルス感染症に係る小規模事業者事業継続支援金」を給付することで、経営の安定化を支援し、事業継続を下支えするものです。【飲食店向け】非接触消毒液ディスペンサーやサーキュレーターの購入費用を補助します！[2021年7月5日]市内の飲食店、喫茶店その他設備を設けて客に飲食をさせる施設において新型コロナウイルス感染症の感染対策備品を整備した事業者に対して交付することにより、感染拡大の防止を図り、もって市民等に安心して飲食店を利用してもらえる環境を整備する。新型コロナウイルス関連支援等情報一覧（ハンドブック）【令和3年5月20日更新】[2021年5月21日]個人事業者や中小企業者等の支援制度（貸付・助成金・支援金・給付金）[2021年5月10日]大阪府営業時間短縮協力金に関するお知らせ[2021年3月23日]新型コロナウイルス感染症の再拡大防止に向けて、令和3年1月14日から2月7日の25日間、営業時間短縮要請に全面的にご協力いただける飲食店等に対し、新たに協力金が大阪府から支給されます【クーポン券事業参加店舗の皆さまへ】枚方市コロナ対策店応援クーポン券換金"
枚方市,https://www.city.hirakata.osaka.jp/0000027804.html,, セーフティネット保証制度4号認定について(突発的災害(自然災害等)) ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップセーフティネット保証制度4号認定について(突発的災害(自然災害等))[2021年2月2日]ID:27804ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();目次制度概要／1.対象中小企業者／2.申請書類の提出及び認定書の受取り／3.必要書類等／4.前年実績の無い創業者や、店舗や業容拡大した事業者への運用緩和／関連情報制度概要注：令和2年5月8日から申請書類を変更（一部書類を簡素化）しています。詳細は下記「3.必要書類等」をお読みください。セーフティネット保証制度4号とは、突発的災害(自然災害等)の発生に起因して売上高等が減少している中小企業者を支援するための経営安定関連保証制度です。制度を利用するためには、中小企業信用保険法第2条第5項第4号に基づく市区町村長の認定（4号認定）を受けたうえで、金融機関または信用保証協会に対する保証付き融資の申込が必要です。なお、本認定を受けることで、大阪府の中小企業向け融資制度「経営安定サポート資金」（別ウインドウで開く）・「新型コロナウイルス感染症対応資金」・「新型コロナウイルス感染症対応緊急資金」（別ウインドウで開く）の利用対象となります。認定書の有効期間は認定書発行の日から起算して30日です。4号認定の申請手続き申請先は事業実体のある事業所の所在地または法人登記上の所在地の市区町村長となります。枚方市にて申請される場合は、以下をご確認の上、申請書類等を商工振興課窓口へご持参ください。1.対象中小企業者次の（1）（2）いずれにも該当する中小企業者が措置の対象となります。（1）申請者が、下記の"
枚方市,https://www.city.hirakata.osaka.jp/0000019031.html,, セーフティネット保証制度5号認定について ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップセーフティネット保証制度5号認定について[2021年2月2日]ID:19031ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();制度概要注：令和2年5月8日から申請書類を変更しています。詳細は下記「4.申請書類の提出及び認定書の受取り」をお読みください。セーフティネット保証制度5号とは、全国的に業況の悪化している業種に属する中小企業者を支援するための経営安定関連保証制度です。制度を利用するためには、中小企業信用保険法第2条第5項第5号に基づく市区町村長の認定（5号認定）を受けたうえで、金融機関または信用保証協会に対する保証付き融資の申込が必要です。なお、本認定を受けることで、大阪府の中小企業向け制度融資「経営安定サポート資金」（別ウインドウで開く）・「新型コロナウイルス感染症対応資金」・「新型コロナウイルス感染症対応緊急資金」（別ウインドウで開く）の利用対象となります。認定書の有効期間は認定書発行の日から起算して30日です。対象業種現在の対象業種については、中小企業庁のホームページ（別ウインドウで開く）をご参照ください。※令和3年7月31日をもって全業種指定は解除されました。8月1日以降の指定業種については下記よりご確認下さい。セーフティネット保証5号の指定業種（令和3年8月1日～令和3年12月31日）セーフティネット保証5号の指定業種5号認定の申請手続き申請先は事業実体のある事業所の所在地または法人登記上の所在地の市区町村長となります。枚方市にて申請される場合は、以下の申請手順をご確認の上、申請書類等を商工振興課窓口へご持参ください。1．営んでいる"
枚方市,https://www.city.hirakata.osaka.jp/0000028107.html,, 【新型コロナウィルス関連融資】危機関連保証制度（大規模な経済危機、災害等による信用収縮への対応） ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップ【新型コロナウィルス関連融資】危機関連保証制度（大規模な経済危機、災害等による信用収縮への対応）[2021年2月2日]ID:28107ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();制度概要注：令和2年5月8日から申請書類を変更（一部書類を簡素化）しています。詳細は下記「4.必要書類等」をお読みください。危機関連保証制度とは、突発的な大規模の経済危機や災害等が発生した時のセーフティネット機能として、業種・地域を問わず予め期限を区切って100%保証を実施することができる制度です。制度を利用するためには、中小企業信用保険法第2条第6項に基づく市区町村長の認定を受けたうえで、金融機関または信用保証協会に対する保証付き融資の申込が必要です。なお、本認定を受けることで、大阪府の中小企業向け融資制度「新型コロナウイルス感染症対応資金」・「新型コロナウイルス感染症対策資金（経営安定資金危機関連）」（別ウインドウで開く）の利用対象となります。認定書の有効期間は認定書発行の日から起算して30日です。危機関連保証の概要危機関連保証の概要(ファイル名：kikikanren.pdfサイズ：336.07KB)危機関連保証の発動1．認定の申請手続き/2．対象中小企業者/3．申請書類の提出及び認定書の受け取り/4．必要書類等/5.前年実績の無い創業者や、店舗や業容拡大した事業者への運用緩和経済産業省は、新型コロナウイルス感染症の影響により、全国の中小企業・小規模事業者の資金繰りが逼迫していることを踏まえ、すでに実施したセーフティネット保証に加えて、危機関連保証"
枚方市,https://www.city.hirakata.osaka.jp/0000019698.html,, 中小企業等経営強化法に基づく「先端設備等導入計画」の認定申請受付について ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップ中小企業等経営強化法に基づく「先端設備等導入計画」の認定申請受付について[2021年9月2日]ID:19698ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();お知らせこれまでのお知らせ新型コロナウイルス感染症に伴う国の緊急経済対策により、対象設備に事業用家屋、構築物が追加されています。※塀、看板（広告塔）や受変電設備など。生産性向上に向けた中小企業者・小規模事業者の新規投資を促進するため、固定資産税の特例（固定ゼロ）の拡充・延長を行います。（中小企業庁）（別ウインドウで開く）根拠法が変わりました(申請時は新様式を利用してください)（令和3年6月17日）先端設備等導入計画の根拠法が、令和3年6月16日をもって生産性向上特別措置法から中小企業等経営強化法に変わりました。税制支援等の制度内容はこれまでどおりですが、一部申請書類（先端設備等導入計画に係る認定申請書、先端設備等に係る誓約書）の様式が変わりましたのでご注意ください。今後先端設備の認定申請をされる場合は、本ホームページに掲載している新様式を利用いただきますようお願いします。なお、「工業会の証明書」「認定革新等支援機関の確認書」「リース事業協会の固定資産税軽減計算書」については、旧様式に基づくものや根拠法が変わる前に作成されたものであっても、そのまま利用が可能です。【NEW】本市の導入促進基本計画を変更しました(令和3年7月16日)令和3年7月13日付けで、中小企業等経営強化法第50条第5項において準用する法第49条第3項の規定に基づき、本市の導入促進基本計画の変更について国から同意を得ました。変更後"
枚方市,https://www.city.hirakata.osaka.jp/0000029172.html, 支援情報,新型コロナウイルス関連情報 ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップくらし新型コロナウイルス関連情報お知らせ新型コロナウイルス関連情報[2021年10月21日]ID:29172ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();支援情報総合情報枚方市からの重要なお知らせ感染していることが分かったら【8月31日更新】感染したかも？と思ったら・・・【5月28日更新】新型コロナ後遺症の相談を受け付けています【7月9日更新】ワクチン接種に関する人権への配慮について（お願い）【7月28日】ストップ！コロナ差別人権への配慮をお願いします【5月19日】枚方市の主な支援策（当初予算・補正予算）【6月23日更新】トピックス新型コロナウイルスワクチン接種について詳細はこちら時短要請等が解除（10月25日～）緊急事態宣言解除に伴う対応【9月29日更新】ひらかたコロナウイルス感染症対策店応援プレミアム付商品券【使用可能店舗情報追加!】ひらかたコロナウイルス感染症対策店応援プレミアム付商品券について【9月14日更新】低所得の子育て世帯に対する子育て世帯生活支援特別給付金低所得の子育て世帯に対する子育て世帯生活支援特別給付金（ひとり親世帯分）について【4月23日】低所得の子育て世帯に対する子育て世帯生活支援特別給付金（ふたり親世帯分）について【6月21日】学校の教育活動及び児童生徒の居場所10月25日以降の教育活動について【10月21日】新型コロナウイルス感染症に関する枚方市立小・中学校の対応について【5月28日】小中学校給食費の取扱いについて【5月6日】市立幼稚園・保育所等・ひらかた子ども発達支援センタ"
枚方市,https://www.city.hirakata.osaka.jp/0000029544.html, 相談,中小企業・小規模事業者に対する総合相談窓口談 ,2021-11-17,"本文へForeignlanguageサイトマップ<pclass=""noscript""><strong>文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト）を無効のまま文字サイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。</strong></p>トップくらし新型コロナウイルス関連情報相談中小企業・小規模事業者に対する総合相談窓口について[2021年8月2日]ID:29544ソーシャルサイトへのリンクは別ウィンドウで開きますfacebutton();twitterbutton();中小企業・小規模事業者に対する総合相談窓口を開設しています新型コロナウイルス感染症により影響を受けた市内事業者への支援策として、「専門家相談窓口」及び「総合相談窓口」を設けています。いずれも相談料は無料です。専門家相談窓口＊お知らせ＊市役所内の専門家相談窓口（中小企業診断士相談・社会保険労務士相談）を以下の日時で開設しています。（令和3年8月1日より、開設日時を変更しておりますので、お気を付けください）また、行政書士をはじめ、その他の専門相談は、地域活性化支援センターの出張無料相談（別ウインドウで開く）をご利用ください。中小企業診断士相談日時：毎週水曜日の午後1時～5時場所：市役所別館3階商工振興課内申し込み方法：原則電話による事前予約優先（072-841-1381、ファクス072-841-1278）。中小企業診断士との相談例カテゴリ相談例創業ビジネスモデル構築、マーケティング計画。収支計画、資金計画。創業融資制度の紹介。新事業デザイン思考による新商品・サービス開発。経営革新経営革新計画作成。シナリオ・プランニングによる将来ビジョン作成。ITIT化計画作成。RFP（提案依頼書）作成。テレワーク環境整備。セキュリティ対策。個人情報保護対策、プライバシーマーク認証取得。WebWebマーケティング計画。ECショッ"
