area,url,category,title,date,id,comment,body
愛媛県,https://www.pref.ehime.jp/h30800/bunsan.html, 協力金,オミクロン株対応分散対策強化協力金 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30180/telework-kyouryokukin/telework-kyouryokukin.html, 協力金,令和3年度愛媛県テレワーク推進協力金 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30100/21ouenkin4/21ouenkin4.html, 応援金,えひめ版応援金(第4弾) ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30580/koronakoyouijijosei/koronakoyouijijosei.html, 助成金,愛媛県新型コロナウイルス感染症対策緊急地域雇用維持助成金 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h20400/kennsahiyouhozyokinn.html, 補助金,愛媛県高齢者福祉施設等における新型コロナウイルス感染症検査費用補助金 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h20400/hojokinn.html, 補助金,愛媛県新型コロナウイルス感染症に係る介護サービス事業所等に対するサービス継続支援事業補助金 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h12900/riyoukaifuku/hojokin.html, 補助金,愛媛県公共交通利用回復緊急支援事業費補助金 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/nan54180/tabinanyo/bus3.html, 助成,「えひめいやしの南予」令和3年度誘客促進事業(バス助成) ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h25500/covid/kensamuryouka.html, 補助,令和3年度愛媛県新型コロナウイルス感染症検査無料化支援事業(感染拡大傾向時の一般検査事業) ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30300/keieishien/20200228coronavirus.html, 融資,新型コロナウイルス感染症の影響を受けている中小企業・小規模企業者に向けた金融支援 ,2022-03-30,,,
愛媛県,https://www.ehime-cgc.or.jp/news/file/20200319202955-fb3b1cceae641c0bff74d53fe04babc0753d3261.pdf, 融資,愛媛県中小企業融資制度～新型コロナウイルス感染症の影響を受けている中小企業・小規模企業者の資金繰りを支援します～ ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30300/siennkeikaku.html,, 事業継続力強化支援計画の認定等 ,2022-03-30,,,
愛媛県,https://www.ehime-anshinninsyo.com/, 認証制度,愛顔の安心飲食店認証制度 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30100/sangyo/documents2.html, 支援情報,新型コロナウイルス感染症に関する給付金・補助金 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h35700/kinyu/ringyou_kinyu.html, 支援情報,新型コロナウイルス感染症の影響を受けている林業・木材産業者向け金融支援 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h37100/sikin/index.html, 支援情報,新型コロナウイルス感染症の影響を受けている漁業者向け金融支援 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h25500/kansen/covid19.html#jigyousya, 支援情報,事業者の皆様へ ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30300/soudanmadokuchi/madokuchisecchi.html, 相談,新型コロナウイルス感染症に係る中小企業者の皆様の相談窓口 ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30500/hatanavi/soudankai.html, 相談,個別相談会（働ナビえひめ） ,2022-03-30,,,
愛媛県,https://jsite.mhlw.go.jp/ehime-roudoukyoku/news_topics/topics/_119756/261021_00033.html, 相談,新型コロナウイルス感染症の影響による関連相談窓口と各種支援～愛媛労働局～ ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h30500/sougouroumushucchousoudankai.html, 相談,新しいえひめワークスタイル推進事業（総合労務出張相談会、セミナー） ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/h35300/nougyoukeizai/index.html#koronasoudannmadoguti, 相談,新型コロナウイルス感染症の影響を受けている農業者向け金融支援相談窓口（電話） ,2022-03-30,,,
愛媛県,https://www.pref.ehime.jp/tiroui/roudousoudan.html, 相談,個別的労使紛争に関する無料労働相談 ,2022-03-30,,,
愛媛県,https://www.ehime-iinet.or.jp/it/9055,,専門家による支援：「DX伴走支援アドバイザ－の派遣について」,2022-06-29,79190,※2022年6月28日更新,
愛媛県,https://www.pref.ehime.jp/h14600/cycling/hojyo.html,,【愛媛県】補助金・助成金：「サイクリング観光事業者支援事業費補助金の募集について」,2022-12-01,89940,※2022年11月21日更新　申請期限2023年1月18日,
愛媛県,https://www.pref.ehime.jp/h14500/05ehimesyuuyuuyuukyakusokushin.html,,【愛媛県】補助金・助成金：「えひめ周遊誘客促進支援事業について」,2023-08-02,107711,※2023年8月1日更新　申請期限2024年2月9日,
